Status;Title;Ident Code;Criteria C;Criteria;Qualifying;#Qualifyin;Supporting;#Supportin;Region;Region Cod;Location;Location C;Area Squar;Month Subm;Year Submi;Month Clas;Year Class;Month Modi;Year Modif;Details
IMMA;Southern Patagonia Coastal Waters IMMA;23SWATLO222323IMMA;Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes;B2, C1, D2;Otaria byronia, Arctocephalus australis, Cephalorhynchus commersonii, Lagenorhynchus obscurus, Lagenorhynchus australis, Orcinus orca, Mirounga leonina, Megaptera novaeangliae, Globicephala melas, Pseudorca crassidens, Grampus griseus;11;NULL;;South West Atlantic Ocean;SWATLO;Argentina;ARG;2596;12;2022;7;2023;7;2023;https://www.marinemammalhabitat.org/portfolio-item/southern-patagonia-coastal-marine-imma
IMMA;Southern Shelf Waters and Reef Edge of Palau IMMA;17PACISL171717IMMA;Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes;A, B1, B2, C1, C2, D1;Dugong dugon;1;Feresa attenuata, Physeter macrocephalus, Peponocephala electra, Stenella longirostris, Stenella attenuata, Pseudorca crassidens, Globicephala macrorhynchus;7;Pacific Islands;PACISL;Palau;PLW;1490;3;2017;10;2017;10;2017;https://www.marinemammalhabitat.org/portfolio-item/southern-shelf-waters-slope-edge-palau/
IMMA;Southwest Atlantic Humpback Migratory Corridor IMMA;15SWATLO222323IMMA;Criterion C - Key Life Cycle Activities;C3;Megaptera novaeangliae australis;1;NULL;;South West Atlantic Ocean;SWATLO;Brazil, South Georgia and the South Sandwich Islands, High Seas;BRA, SGS, ABNJ;4014498;12;2022;7;2023;7;2023;https://www.marinemammalhabitat.org/portfolio-item/southwest-atlantic-humpback-migratory-corridor-imma
IMMA;Southwest Atlantic Subtropical Continental Slope and Canyons System IMMA;13SWATLO222323IMMA;Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities - Criterion D - Special Attributes;A, B2, C1, C2, D2;Physeter macrocephalus, Globicephala melas edwardii, Tursiops truncatus, Stenella frontalis, Delphinus delphis, Grampus griseus, Orcinus orca, Balaenoptera borealis, Arctocephalus australis;9;Stenella coeruleoalba, Balaenoptera acutorostrata, Balaenoptera bonaerensis, Megaptera novaeangliae, Stenella longirostris;5;South West Atlantic Ocean;SWATLO;Brazil, Uruguay, Argentina, High Seas;BRA, URY, ARG, ABNJ;297319;12;2022;7;2023;7;2023;https://www.marinemammalhabitat.org/portfolio-item/southwest-atlantic-subtropical-continental-slope-and-canyons-system-imma
IMMA;Strait of Gibraltar and Gulf of Cádiz IMMA;24MEDSEA161717IMMA;Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes;A, B1, C1, C2, D1, D2;Orcinus orca;1;Tursiops truncatus, Stenella coeruleoalba, Globicephala melas, Delphinus delphis, Grampus griseus, Physeter macrocephalus, Balaenoptera physalus;7;Mediterranean;MEDSEA;Gibraltar, Morocco, Spain;GIB, MCO, ESP;4538;10;2016;5;2017;5;2017;https://www.marinemammalhabitat.org/portfolio-item/strait-gibraltar-gulf-cadiz/
IMMA;Sundarbans IMMA;25NIOSEA181922IMMA;Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance;A, B2;Orcaella brevirostris, Platanista gangetica;2;Sousa chinensis, Neophocaena phocaenoides;2;Northeast Indian Ocean and Southeast Asian Seas;NIOSEA;Bangladesh, India;BGD, IND;3663;3;2018;1;2019;11;2022;https://www.marinemammalhabitat.org/portfolio-item/sundarbans/
IMMA;Swatch-of-No-Ground IMMA;26NIOSEA181919IMMA;Criterion B - Distribution and Abundance, Criterion D - Special Attributes;B2, D1;Tursiops aduncus, Balaenoptera edeni;2;Stenella attenuata, Stenella longirostris, Steno bredanensis, Pseudorca crassidens;4;Northeast Indian Ocean and Southeast Asian Seas;NIOSEA;Bangladesh, India;BGD, IND;1960;3;2018;1;2019;1;2019;https://www.marinemammalhabitat.org/portfolio-item/swatch-of-no-ground/
IMMA;Tanon Strait IMMA;27NIOSEA181919IMMA;Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes;B1, C2, C3, D2;Tursiops aduncus, Stenella longirostris;2;Tursiops aduncus, Stenella longirostris, Grampus griseus, Globicephala macrorhynchus, Kogia sima, Peponocephala electra, Pseudorca crassidens, Stenella attenuata;8;Northeast Indian Ocean and Southeast Asian Seas;NIOSEA;Philippines;PHL;5371;3;2018;1;2019;1;2019;https://www.marinemammalhabitat.org/portfolio-item/tanon-strait/
IMMA;Tikapa Moana Te Moananui a Toi Hauraki IMMA;30ANSEIO202020IMMA;Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes;A, B2, C2, D2;Balaenoptera edeni, Pseudorca crassidens, Balaenoptera musculus;3;Orcinus orca, Pseudorca crassidens, Delphinus delphis, Globicephala melas, Ziphius cavirostris, Mesoplodon grayi, Berardius arnuxii, Balaenoptera borealis, Megaptera novaeangliae, Balaenoptera bonaerensis, Physeter macrocephalus;11;Australia, New Zealand and Southest Indian Ocean;ANSEIO;New Zealand;NZL;16990;2;2020;7;2020;7;2020;https://www.marinemammalhabitat.org/portfolio-item/tikapa-moana-te-moananui-a-toi-hauraki/
IMMA;Toliara, St. Augustine Canyon and Anakao IMMA;36WIOCAS191922IMMA;Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes;A, B1, B2, C1, D2;Megaptera novaeangliae, Sousa plumbea, Stenella longirostris, Grampus griseus, Globicephala macrorhynchus;5;Balaenoptera bonaerensis, Balaenoptera musculus, Balaenoptera physalus, Eubalaena australis, Kogia sima, Lagenodelphis hosei, Peponocephala electra, Physeter macrocephalus, Pseudorca crassidens, Stenella attenuata, Steno bredanensis, ...;12;Western Indian Ocean and Arabian Seas;WIOCAS;Madagascar;MDG;6963;4;2019;12;2019;11;2022;https://www.marinemammalhabitat.org/portfolio-item/toliara-st-augustine-canyon-anakao/
